OBJECTID,id,asset_id,status,common_name,genus,species,variety,species_code,dbh,dbh_range,age,planted_date,canopy,canopy_m,health,height,height_m,legal,risk,riskid,structure,ule,vigour,circumference,overhead_cables,base_material,park_tree,private_tree,geom,lng,lat,approx_address,suburb,significant_tree,next_inspection_due,tpz,srz,removed_date,removed_reason,removed_notes,created_at,updated_at,Key,asset_file,Genus,MatchType,FinalAsset_LowPoly,FinalAsset_Realistic,FinalAsset_Schematic,FinalAsset_Fan,FinalAsset
40912,4691507,240327,Tree,Grevillea,Grevillea,Sp.,,0,3,,Juvenile,,2-5m,0,Good,<5m,0,,,0,Good,,,Less than 1m,,,1,0,0101000020E610000093FE5E0A8F536140F0C2D66CE57341C0,138.611211,-34.905439,Mann Rd -Park Tree - Grevillea sp.,North Adelaide,No,17/10/2027 0:00,2,1.5,,,,17/10/2024,17/10/2024 0:00,GrevilleaSp.,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
41091,4691686,240508,Tree,Native Cherry,Exocarpos,Cupressiformis,,0,3,,Juvenile,,2-5m,0,Good,<5m,0,,,0,Good,,,Less than 1m,,,1,0,0101000020E61000008884EFFD8D536140E84CDA54DD7341C0,138.611083,-34.905192,Mann Rd -Park Tree - Exocarpos cupressiformis,North Adelaide,No,17/10/2027 0:00,2,1.5,,,,17/10/2024,17/10/2024 0:00,ExocarposCupressiformis,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
45251,4695847,244669,Tree,Eukie Dwarf Yellow Gum,Eucalyptus,Leucoxylon,Eukie Dwarf,0,15,,Juvenile,,5-10m,0,Good,5-10m,0,,,0,Good,,,Less than 1m,,,1,0,0101000020E6100000541EDD088B536140B72572C1197441C0,138.610722,-34.907036,Park 09 - Tidlannga -Park Tree - Eucalyptus leucoxylon,North Adelaide,No,17/10/2027 0:00,2,1.55,,,,17/10/2024,17/10/2024 0:00,EucalyptusLeucoxylon,,,Genus fallback,assets/Trees/LowPoly/EucalyptusGlobulus.glb,assets/Trees/Realistic/EucalyptusGlobulus.glb,assets/Trees/Schematic/EucalyptusGlobulus.glb,assets/Trees/Fan/EucalyptusGlobulus.glb,assets/Trees/LowPoly/EucalyptusGlobulus.glb
48602,4699200,248028,Tree,White Leaved Mallee,Eucalyptus,Albida,,0,40,,Mature,,10-20m,0,Good,10-20m,0,,,0,Good,,,1-2m,,,1,0,0101000020E61000008BAA5FE9FC5261409ECF807A337841C0,138.593373,-34.939071,Park 21 West - Mirnu Wirra -Park Tree - Eucalyptus albida,Adelaide,No,17/10/2027 0:00,4.8,2.34,,,,17/10/2024,17/10/2024 0:00,EucalyptusAlbida,,,Genus fallback,assets/Trees/LowPoly/EucalyptusGlobulus.glb,assets/Trees/Realistic/EucalyptusGlobulus.glb,assets/Trees/Schematic/EucalyptusGlobulus.glb,assets/Trees/Fan/EucalyptusGlobulus.glb,assets/Trees/LowPoly/EucalyptusGlobulus.glb
48610,4699208,248036,Tree,White Box,Eucalyptus,Albens,,0,18,,Juvenile,,5-10m,0,Good,5-10m,0,,,0,Good,,,Less than 1m,,,1,0,0101000020E6100000228B34F10E536140446D1B46417841C0,138.595574,-34.939492,Park 21 - Walyu Yarta -Park Tree - Eucalyptus albens,Adelaide,No,17/10/2027 0:00,2.16,1.68,,,,17/10/2024,17/10/2024 0:00,EucalyptusAlbens,,,Genus fallback,assets/Trees/LowPoly/EucalyptusGlobulus.glb,assets/Trees/Realistic/EucalyptusGlobulus.glb,assets/Trees/Schematic/EucalyptusGlobulus.glb,assets/Trees/Fan/EucalyptusGlobulus.glb,assets/Trees/LowPoly/EucalyptusGlobulus.glb
49520,4700121,248951,Tree,Qunice,Cydonia,Oblonga,,0,0,< 15cm,Young,,2-5m,0,Good,<5m,0,,Low,1,Fair,10-20 years,,Less than 1m,,,1,0,0101000020E6100000E816BA128153614046EC1340317441C0,138.609506,-34.907753,Park 09 - Tidlannga -Park Tree - Cydonia oblonga,North Adelaide,No,21/07/2028 15:40,,,,,,17/10/2024,21/07/2025 15:40,CydoniaOblonga,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
50368,4700969,249789,Tree,Coastal Sheoak,Casuarina,Equisetifolia,,0,26,,Juvenile,,2-5m,0,Good,<5m,0,,,0,Good,,,Less than 1m,,,1,0,0101000020E6100000AF44A0FA07536140124A5F08397341C0,138.594724,-34.900178,Park 03 - Kantarilla -Park Tree - Casuarina equisetifolia,North Adelaide,No,17/10/2027 0:00,3.12,1.96,,,,17/10/2024,17/10/2024 0:00,CasuarinaEquisetifolia,ESRI.lib/assets/Webstyles/Vegetation/Schematic/CasuarinaEquisetifolia.glb,Casuarina,Species match,assets/Trees/LowPoly/CasuarinaEquisetifolia.glb,assets/Trees/Realistic/CasuarinaEquisetifolia.glb,assets/Trees/Schematic/CasuarinaEquisetifolia.glb,assets/Trees/Fan/CasuarinaEquisetifolia.glb,assets/Trees/LowPoly/CasuarinaEquisetifolia.glb
51740,4702341,251161,Tree,White Cypress,Callitris,Columellaris,,0,11,,Mature,,2-5m,0,Good,<5m,0,,,0,Good,,,Less than 1m,,,1,0,0101000020E6100000B0E3BF4010536140096CCEC1337341C0,138.595734,-34.900017,Park 03 - Kantarilla -Park Tree - Callitris columellaris,North Adelaide,No,17/10/2027 0:00,2,1.5,,,,17/10/2024,17/10/2024 0:00,CallitrisColumellaris,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
52086,4702688,251507,Tree,Saw Banksia,Banksia,Serrata,,0,12,,Juvenile,,2-5m,0,Good,<5m,0,,,0,Poor,,,Less than 1m,,,1,0,0101000020E6100000FDC13C3B8B53614015ADDC0BCC7441C0,138.610746,-34.912477,Park 11 - Tainmuntilla -Park Tree - Banksia serrata,North Adelaide,No,17/10/2027 0:00,2,1.5,,,,17/10/2024,17/10/2024 0:00,BanksiaSerrata,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
52482,4703084,251901,Tree,Native Pine,Callitris,Sp.,,0,0,15-30cm,Mature,,2-5m,0,Good,5-10m,0,,Low,1,Fair,10-20 years,,Less than 1m,,,1,0,0101000020E6100000EE7C3F35DE526140FC1BB4571F7341C0,138.589625,-34.899394,Park 02 - Pardipardinyilla -Park Tree - Allocasuarina verticillata,North Adelaide,No,7/07/2028 12:37,,,,,,17/10/2024,7/07/2025 12:37,CallitrisSp.,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
52502,4703104,251921,Tree,Gundabluie,Acacia,Victoriae,,0,18,,Mature,,2-5m,0,Good,<5m,0,,,0,Average,,,2-3m,,,1,0,0101000020E610000094A5D6FB0D536140CEE2C5C2107341C0,138.595457,-34.898949,Park 03 - Kantarilla -Park Tree - Acacia victoriae,North Adelaide,No,17/10/2027 0:00,2.16,1.68,,,,17/10/2024,17/10/2024 0:00,AcaciaVictoriae,,,Genus fallback,assets/Trees/LowPoly/AcaciaTortilis.glb,assets/Trees/Realistic/AcaciaTortilis.glb,assets/Trees/Schematic/AcaciaTortilis.glb,assets/Trees/Fan/AcaciaTortilis.glb,assets/Trees/LowPoly/AcaciaTortilis.glb
52519,4703121,251938,Tree,Coast Wattle,Acacia,Sophorae,,0,4,,Juvenile,,2-5m,0,Good,<5m,0,,,0,Good,,,Less than 1m,,,1,0,0101000020E610000080457EFD105361408CBFED09127341C0,138.595824,-34.898988,Park 03 - Kantarilla -Park Tree - Acacia sophorae,North Adelaide,No,17/10/2027 0:00,2,1.5,,,,17/10/2024,17/10/2024 0:00,AcaciaSophorae,,,Genus fallback,assets/Trees/LowPoly/AcaciaTortilis.glb,assets/Trees/Realistic/AcaciaTortilis.glb,assets/Trees/Schematic/AcaciaTortilis.glb,assets/Trees/Fan/AcaciaTortilis.glb,assets/Trees/LowPoly/AcaciaTortilis.glb
52648,4703250,252067,Tree,Swamp Wattle,Acacia,Retinoides,,0,5,,Juvenile,,2-5m,0,Good,<5m,0,,,0,Good,,,Less than 1m,,,1,0,0101000020E6100000902E36AD945361401AF8510DFB7341C0,138.611899,-34.906099,Mann Rd -Park Tree - Acacia retinoides,North Adelaide,No,17/10/2027 0:00,2,1.5,,,,17/10/2024,17/10/2024 0:00,AcaciaRetinoides,,,Genus fallback,assets/Trees/LowPoly/AcaciaTortilis.glb,assets/Trees/Realistic/AcaciaTortilis.glb,assets/Trees/Schematic/AcaciaTortilis.glb,assets/Trees/Fan/AcaciaTortilis.glb,assets/Trees/LowPoly/AcaciaTortilis.glb
53589,4704191,253014,Tree,Green Wattle,Acacia,Decurrens,,0,13,,Juvenile,,2-5m,0,Good,<5m,0,,,0,Good,,,Less than 1m,,,1,0,0101000020E6100000304B3B3597536140E0490B97557441C0,138.612208,-34.908862,Park 11 - Tainmuntilla -Park Tree - Acacia decurrens,North Adelaide,No,17/10/2027 0:00,2,1.5,,,,17/10/2024,17/10/2024 0:00,AcaciaDecurrens,,,Genus fallback,assets/Trees/LowPoly/AcaciaTortilis.glb,assets/Trees/Realistic/AcaciaTortilis.glb,assets/Trees/Schematic/AcaciaTortilis.glb,assets/Trees/Fan/AcaciaTortilis.glb,assets/Trees/LowPoly/AcaciaTortilis.glb
