id,asset_id,status,common_name,genus,species,variety,species_code,dbh,dbh_range,age,canopy,canopy_m,health,height,height_m,legal,risk,riskid,structure,ule,vigour,circumference,overhead_cables,base_material,park_tree,private_tree,geom,lng,lat,approx_address,suburb,significant_tree,tpz,srz,removed_reason,removed_notes,GlobalID
4657257,152833,Tree,London Plane,Platanus,hybrida,None,0,0,15-30cm,Mature,5-10m,5,Good,5-10m,7,None,Low,1,Good,> 20 years,None,Less than 1m,,,0,0,0101000020E6100000DA931BA0CF5261405832AE558E7641C0,138.587844899999993,-34.92621871,Waymouth St -Street Tree - Koelreuteria bipinnata,Adelaide,No,,,None,None,{09E0AB51-1D7E-4323-84FB-D12DEED48E9C}
4657274,152856,Removed,Bull Bay,Magnolia,grandiflora,None,0,10,None,Young,<2m,1,Average,<5m,1,None,Low,1,Average,5-10 years,None,Less than 1m,,,1,0,0101000020E610000031D228B00253614030048C708B7441C0,138.594078139999993,-34.91050536,Park 28 - Palmer Gardens - Park Tree - Magnolia Grandiflora,North Adelaide,No,2.000000000000000,1.500000000000000,Poor Health,Can hand dig stump out,{9392129C-256E-46BD-BE48-15845DD4448D}
4657290,152875,Tree,White Poplar,Populus,alba,None,0,8,None,Juvenile,5-10m,2,Good,5-10m,2,None,None,0,Good,None,None,Less than 1m,,,1,0,0101000020E610000088A1D5C919536140162C593EE07741C0,138.596898000000010,-34.93653087,Park 21 - Walyu Yarta -Park Tree - Populus alba,Adelaide,No,2.000000000000000,1.500000000000000,None,None,{D03A721D-73AF-40DD-8F57-5CADF460DC9A}
4657294,152880,Tree,Scarlet Oak,Quercus,coccinea,None,0,9,None,Juvenile,2-5m,1,Good,<5m,1,None,None,0,Good,None,None,Less than 1m,,,1,0,0101000020E6100000B469B63C205361409887AF23CC7741C0,138.597685200000001,-34.93591734,Park 21 - Walyu Yarta -Park Tree - Quercus coccinea,Adelaide,No,2.000000000000000,1.500000000000000,None,None,{14D0C303-647A-4660-9FE5-EB1E0EA13D24}
4657295,152881,Tree,Norfolk Island Pine,Araucaria,heterophylla,None,0,16,None,Juvenile,2-5m,1,Good,<5m,1,None,None,0,Good,None,None,Less than 1m,,,1,0,0101000020E61000003854E7AC2A5361408AF2DCAD727341C0,138.598959400000012,-34.90193723,Park 04 - Kangatilla -Park Tree - Araucaria heterophylla,North Adelaide,No,2.000000000000000,1.600000000000000,None,None,{5F939959-2A65-42D9-A67C-AAC13A78FA06}
4657339,152930,Tree,Pillar Crab Apple,Malus,tschonskii,None,0,6,None,Juvenile,2-5m,0,Good,<5m,0,None,None,0,Good,None,None,Less than 1m,,,0,0,0101000020E6100000B85274C9DD526140D4BBF4064A7641C0,138.589573599999994,-34.92413413,Philip St -Street Tree - Malus tschonskii,Adelaide,No,2.000000000000000,1.500000000000000,None,None,{A26BF00E-05D0-45AF-B310-1509EAE1F4EB}
4657381,152983,Tree,Hoop Pine,Araucaria,cunninghamii,None,0,70,> 60cm,Mature,5-10m,0,Good,10-20m,20,None,None,0,Good,None,High Vigour,2-3m,,,1,0,0101000020E61000006B4F7FACD65261405914FA89987441C0,138.588705299999987,-34.91090512,Park 01 - Pirltawardli - Park Tree - Araucaria Cunninghamii,North Adelaide,No,8.400000000000000,2.970000000000000,None,None,{68FF2D3F-7CD9-47CF-AD58-ADA19146F480}
4657382,152984,Tree,Cook Pine,Araucaria,columnaris,None,0,108,> 60cm,Mature,>20m,0,Average,>20m,20,None,Low,1,Average,10-20 years,High Vigour,Above 3m,,,1,0,0101000020E610000060DE8893605361403CD075A75C7641C0,138.605539099999987,-34.92470258,Hindmarsh Sq - Mukata -Park Tree - Araucaria columnaris,Adelaide,Yes,12.960000000000001,3.560000000000000,None,None,{B3B137A5-18D8-4127-8F2D-9F610B12A771}
4657384,152986,Tree,Irish Strawberry Tree,Arbutus,unedo,None,0,14,None,Mature,2-5m,0,Good,<5m,5,None,Low,1,Good,10-20 years,Low Vigour,Less than 1m,,,1,0,0101000020E6100000D581621AFC52614073491793657641C0,138.593274299999990,-34.92497481,Light Sq - Wauwi -Park Tree - Arbutus unedo,Adelaide,No,2.000000000000000,1.510000000000000,None,None,{22C6C142-3383-46A5-857A-16901311EB5C}
4657385,152987,Tree,Neem Tree,Azadirachta,indica,None,0,58,None,Mature,None,0,Good,5-10m,10,None,None,0,Good,None,High Vigour,1-2m,,,1,0,0101000020E6100000DD4F7C6BD65261405EC8970EA57441C0,138.588674300000008,-34.91128714,Park 01 - Pirltawardli - Park Tree - Azadirachta Indica,North Adelaide,No,6.960000000000000,2.740000000000000,None,None,{5742901F-C2A9-4D23-BAB6-0DF4993F4F10}
